Title,Location,Salary,Description,Skills,URL
Senior Data Scientist,"San Jose, CA",[],"San Jose, CA, US- RELOCATION INCLUDED! **Your application will be considered incomplete unless the screening questions are answered, and incomplete applications cannot be submitted for further review. Please answer all of the screening questions in detail in order to expedite the process.**If you are a Senior Data Scientist/Applied Researcher with 8+ years of experience, please read on! Based in the San Jose area, we are a fast growing, results driven, and successful Online Services Company that specializes in eCommerce. Due to growth and demand for our services, we are in need of hiring for a Data Scientist who has over 5 years of industry experience and possess strong Hadoop, Spark, Scala, Python, R, machine learning, Data mining, Information Retrieval/Search, and NLP background with a passion for solving problems.Join our small, highly collaborative team who enjoy working on large-scale, challenging and interesting problems. The apps you will work to create and enhance are used by thousands of users on a daily basis. It’s a rare opportunity to work for such an agile and dynamic company that also has the stability and resources backing it that we have.If you are interested in joining a Work Hard Play Hard company that pushes the envelope in global commerce and 100% cares about providing a great working environment for its employees, then apply immediately.Top Reasons to Work with Us- Great salary, bonuses and healthy stock options- Awesome office culture, unlimited PTO- Work with cutting edge technologies on an elite team for a powerhouse company!What You Need for this PositionMore Than 8 Years of experience and knowledge of:- Data Science- Applied Research- Hadoop/MapReduce/Spark- Programming (R/Scala/Python/Ruby)- Java Or C++- Data Mining- Machine Learning- Information RetrievalWhat's In It for You- Vacation/PTO- Medical- Dental- Vision- Relocation Assistance- Bonus: 10-20% year-end bonus off base salary- Potential Stock Option- 401(k)So, if you are a Senior Data Scientist with 8+ years of experience, please apply today! **Your application will be considered incomplete unless the screening questions are answered, and incomplete applications cannot be submitted for further review. Please answer all of the screening questions in detail in order to expedite the process.**
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Data Science
                                    
                                
                            
                            
                                
                                    
                                    Applied Research
                                    
                                
                            
                            
                                
                                    
                                    Hadoop/MapReduce/Spark
                                    
                                
                            
                            
                                
                                    
                                    Programming (R/Scala/Python/Ruby)
                                    
                                
                            
                            
                                
                                    
                                    Java Or C++
                                    
                                
                            
                            
                                
                                    
                                    Data Mining
                                    
                                
                            
                            
                                
                                    
                                    Machine Learning
                                    
                                
                            
                            
                                
                                    
                                    Information Retrieval",https://www.cybercoders.com/senior-data-scientist-job-390523
Sr. Data Scientist,"Berkeley, CA",[],"Located in beautiful Berkeley, CA, we have a passion for healthcare and are singularly focused on improving our healthcare system for all stakeholders – especially patients - by helping our clients make sense of complex data so they can answer their most challenging questions. We also believe that our distinctive capabilities shouldn’t perpetuate the inertial ‘zero sum game’ where success is measured by how much the winners take from the losers. Only in this way we will be able to positively impact the delivery of healthcare while building a successful company.Top Reasons to Work with Us- HUGE room for Growth- Very Competitive Salary- Great Work/Life BalanceWhat You Will Be DoingInform product strategy, influence the product roadmap, and guide product decisions by: •Accessing and analyzing rich healthcare data to generate insights and make proactive recommendations. •Formulating success metrics for optimizing healthcare resources and patient experience, creating visualizations to monitor them. •Designing and analyzing experiments to test new ideas for optimizing improving our client's precious resources. •Developing models and data-driven solutions that add material insight to our clients understanding of their business and their business environmentWhat You Need for this Position•Minimum 2-5 years outside of PhD/Masters work working as a Data Scientist or Fellow.  •PhD or Masters in a quantitative discipline: Computer Science, Statistics, Applied Mathematics, Operations Research, Engineering  •Working knowledge of healthcare systems and healthcare terminology •Expert in analyzing large complex, multi-dimensional data sets with a variety of tools •Ability to thrive and demonstrate constant applied learning in highly complex, interdisciplinary, and dynamic work environment •Strong programming experience in Python or RWhat's In It for YouFor your hard work, you will be rewarded with a strong compensation package that includes a competitive base salary (D.O.E), excellent medical, dental and health benefits and other cool perks.Interviews are ongoing so, please FULLY COMPLETE THE APPLICATION QUESTIONS INCLUDING THE SELF ASSESSMENT ASAP! Complete applications will receive priority!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Python/R/Julia
                                    
                                
                            
                            
                                
                                    
                                    Formulating metrics for optimizing healthcare
                                    
                                
                            
                            
                                
                                    
                                    Experiment design for client facing optimizations
                                    
                                
                            
                            
                                
                                    
                                    Developing Model/Data driven solutions
                                    
                                
                            
                            
                                
                                    
                                    Analysis & Modeling of Large Complex Datasets
                                    
                                
                            
                            
                                
                                    
                                    Predictive Modeling and Analytics
                                    
                                
                            
                            
                                
                                    
                                    Client Facing Roles
                                    
                                
                            
                            
                                
                                    
                                    Machine Learning",https://www.cybercoders.com/sr-data-scientist-job-390582
Senior Data Scientist,"San Francisco, CA","['100', '160']","This is a very unique Data Science opportunity!   In this role your time would be split as follows:  2 quarters - teaching at our data science bootcamp in SF, 1 quarter - working on business projects, 1 quarter - you'd get paid to work on data science passion projects of your choice (write a book, work on research, take a consulting assignment - your choice)!  The latter 2 quarters are REMOTE work.We are a highly successful data science boot-camp with locations in NYC, Chicago, Seattle and San Francisco and we're looking for dynamic Data Scientists with a passion for teaching.Top Reasons to Work with Us- Work remote 2 quarters of each year (with some travel) & get paid to work on passion projects of your choice for 1 quarter!- We are a startup company owned by a global giant so you get the best of both worlds - that startup vibe but with security.- Competitive annual salary and full benefits.What You Will Be DoingSENIOR DATA SCIENTISTWe are looking for Data Scientists to be part of the our Data Science Instructional Team.  We seek individuals who love and excel at analyzing and visualizing data to solve important problems, are passionate about teaching others to be premier data scientists, and are fun to be around and work with.  An ideal candidate should be quick to learn and adapt, care about design of simple, powerful, beautiful interfaces and visuals, love writing code, thrive in creative team efforts, and also have interests and passions beyond data science.ResponsibilitiesOur Senior Data Scientists provide incredible and inspiring Data Science instruction; support the design and teaching of new products and courses and infuse their expertise into our business operations; and continually sharpen their skills through consulting and passion project explorations. We call this approach our 2-1-1 Instructor Model. Teaching the Data Science Bootcamp (2 quarters of the year)Senior Data Scientists spend half the year co-teaching two 12-week bootcamps (20-24 students). On any given day, the amount of lecture time is 1-2 hours, and the remainder of the day is spent directly engaging with and coaching individually the students.•Leading course discussions•Providing personalized support to students•Improving the quality of our curriculum •Offering career guidance and interview supportDeveloping and Teaching New Courses and Supporting Business Operations (1 quarter of the year)Senior Data Scientists spend about one-quarter of the year helping to create and teach new course offerings, as well as infusing our functional areas – admissions, marketing, careers, instructor recruitment  – with their domain expertise.•Creating new courses and/or enhancing existing courses•Providing data science training to corporations•Interviewing and providing feedback on applicants•Speaking at events and conferences•Writing articles and blogs•Assisting with instructor recruitmentSharpening Skills and Pursuing Data Science Passion Projects (1 quarter of the year)Senior Data Scientists spend about one-quarter of the year focused entirely on enhancing their skill set and building their data science knowledge in whatever way they choose.  These three months are intended to be self-driven.  Some ideas include:•Consulting on pro bono data science projects (e.g., with DataKind)•Providing in-house data science project expertise to specific companies•Authoring a book related to data science•Enrolling in data science classes•Working on open source passion projectsWhat You Need for this PositionMust haves:Machine Learning AlgorithmsSolid Python experience 2+ years INDUSTRY experience of data science A passion for teachingPreferred (NOT essential):Ideally Masters or PhD in quantitative fieldPrior teaching experienceWhat's In It for YouPerks of the Role•Part of a team that is transforming education•Three paid months per year to sharpen skills and pursue passion projects•Competitive compensation package•Opportunity to network and develop, both among our internal Data Science speaker community, as well as through our parent company which is a global organization•Opportunity to work in different geographic locations if desiredSo, if you are a Data Scientist who wants to teach, get involved in the business AND get paid to spend 3 months a year working on a data science project of your choice, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Data Science
                                    
                                
                            
                            
                                
                                    
                                    Python
                                    
                                
                            
                            
                                
                                    
                                    scikit.learn
                                    
                                
                            
                            
                                
                                    
                                    Virtual Environments
                                    
                                
                            
                            
                                
                                    
                                    Bayesian Inference
                                    
                                
                            
                            
                                
                                    
                                    Machine Learning Algorithms
                                    
                                
                            
                            
                                
                                    
                                    teaching experience",https://www.cybercoders.com/senior-data-scientist-job-393702
Lead Data Engineer,"Cambridge, MA","['120', '200']","If you are a Data Engineer with team leadership experience, please read on!  Based in downtown Boston, we are a leading investment manager with data at the core of everything we do. For over 25 years we have been successful on a global level because of our open and collaborative approach, enthusiastic and talented team, innovative  focus, and great processes.  We are looking for a dynamic Data Engineer to lead our growing Data Engineering Team.Top Reasons to Work with Us- Great benefits and HUGE bonus potential- Flexible environment which leads to a great work life balance- Small company culture!What You Will Be Doing- lead strategy, design, and implementation of data storage and access platforms for quantitative research and production processes- relentlessly search for ways to integrate many different forms of new and innovating data sets- lead and growing a team of data engineers in design and development of data storage and access platforms- coordinating with research teams to offer access to new data sets - developing patterns and a process for on-boarding new data sets that researchers can implement- designing and implementing storage for data across MS SQL, MongoDB, and other future technologies- collaborating in architecture and evolution of data pipeline, from raw data to production- building and owning a data environment that is robust, high-quality, and provides fast accessWhat You Need for this Position- 5+ years of data engineering and architecture experience- Bachelor's degree in Computer Science- experience working with transformation and storage of quantitative financial data- leadership experience and visionary skills to shape and grow a team- desire and drive to advance our data ecosystem- experience working in a Linux environment- understanding of multiple data storage technologies: SQL, My SQL, NoSQL, MongoDB, HDF, and beyond- exposure to ETL or other data pipeline tools is a plus- proficiency working in Python (preferred), JVM, or other non-database-centric programming language- ability and willingness to work in a fast-paced, mission-critical, production environmentWhat's In It for You- Competitive salary with fantastic bonuses and profit sharing!- Great benefits (company paid premiums)- Flexible scheduling and a work / life balance- Small company culture- Onsite gym- Lots of room for growthSo, if you are a Data Engineer with team leadership experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    MY SQL
                                    
                                
                            
                            
                                
                                    
                                    MongoDB
                                    
                                
                            
                            
                                
                                    
                                    Data Warehouse Architecture
                                    
                                
                            
                            
                                
                                    
                                    Database Architect
                                    
                                
                            
                            
                                
                                    
                                    NoSQL
                                    
                                
                            
                            
                                
                                    
                                    Python
                                    
                                
                            
                            
                                
                                    
                                    ETL
                                    
                                
                            
                            
                                
                                    
                                    HDF
                                    
                                
                            
                            
                                
                                    
                                    Financial Services
                                    
                                
                            
                            
                                
                                    
                                    Data Storage",https://www.cybercoders.com/lead-data-engineer-job-395264
Senior Data Engineer,"Palo Alto, CA","['130', '175']","If you are a Senior Data Engineer with experience distributed systems experience, please read on!Job title: Senior Data EngineerLocation: Palo Alto, CASalary: $130- $175+ equity optionsThe company: Our platform provides clients with a virtual expert for AI- driven automation of support delivery and incident resolution for complex engineered systems- data centers, telco networks, and industrial operations.  We are working to create cutting edge NLP engines that are able to manage live catalogs of incident resolution and service response recipes.  We are looking to add the best and brightest to our team!!What You Will Be Doing-Design and implement highly scalable systems and algorithms-Work closely with quality engineering, product management, and technical operations to develop, test, deploy, and operate high quality software- Data IntegrationWhat You Need for this PositionRequirements: Bachelor or Master degree in Computer Science, Machine Learning or equivalent.-Experience in building products from scratch in early startup (seed or Series A).-Scala- Spark- Hbase-Experience in noSQL (e.g. Cassandra, MongoDB) or ( Orient, neo4j)Pluses: - Experience with Storm or Spark-Experience with Kafka-Knowledge in one or more of the following data center supportability technologies will be a big plus - networking (e.g. L2/L5 load balancer, routers/switches, Software DefinedNetwork), storage (e.g. NAS/iSCSI/SAN configuration), supportability (e.g. incidentmanagement, systems diagnostics).-Experience with implementing Continuous Integration/Delivery such as AWS ECS,Docker, Kubernetes, Mesos for complex distributed data systemsWhat's In It for You- Competitive Salary- Join at the beginning of a well funded Team- Immediate Hire- Equity optionsSo, if you are a Senior Data Engineer with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Scala
                                    
                                
                            
                            
                                
                                    
                                    hBase
                                    
                                
                            
                            
                                
                                    
                                    Kafka
                                    
                                
                            
                            
                                
                                    
                                    SPARK
                                    
                                
                            
                            
                                
                                    
                                    NoSQL(Hbase/MongoDB/Cassandra/Redis)",https://www.cybercoders.com/senior-data-engineer-job-399829
Senior Data Scientist,"Palo Alto, CA","['110', '160']","If you are a Senior Data Scientist with experience in Machine Learning and NLP , please read on!Job title: Senior Data Scientist Location: Palo Alto, CASalary: $110- $165+ equity optionsThe company: Our platform provides clients with a virtual expert for AI- driven automation of support delivery and incident resolution for complex engineered systems- data centers, telco networks, and industrial operations.  We are working to create cutting edge NLP engines that are able to manage live catalogs of incident resolution and service response recipes.  We are looking to add the best and brightest to our team!!What You Will Be Doing-Design and implement highly scalable systems and algorithms-Design and implement innovative user interface-Work closely with quality engineering, product management, and technical operations to develop, test, deploy, and operate high quality software-Design and develop test cases and implement automated test suitesWhat You Need for this PositionRequirements: Master’s / PhD in Computer Science, Machine Learning or equivalent field.-Experience in building products from scratch using machine learning in early startup(seed or Series A).-Experience in Natural Language Processing such as topic extraction, chatbot, buildingknowledge graph (ontology) from scratch.-Proven experience in developing algorithms using Python or Scala in one or more of thefollowing fields: machine learning, data analytics, information retrieval.-Experience applying statistics, probability, and machine learning to real businessproblems.Pluses:- Knowledge in one or more of the following data center supportability technologies willbe a big plus - networking (e.g. L2/L5 load balancer, routers/switches, Software DefinedNetwork), storage (e.g. NAS/iSCSI/SAN configuration), supportability (e.g. incidentmanagement, systems diagnostics).-Familiarity with Big Data platforms (e.g., Spark, Kafka, Storm, Cassandra) is anadvantage.What's In It for You- Competitive Salary- Join at the beginning of a well funded Team- Immediate Hire- Equity optionsSo, if you are a Senior Data Scientist with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Machine Learning
                                    
                                
                            
                            
                                
                                    
                                    NLP
                                    
                                
                            
                            
                                
                                    
                                    Python or Scala
                                    
                                
                            
                            
                                
                                    
                                    Spark/Kafka/Storm/ Cassandra",https://www.cybercoders.com/senior-data-scientist-job-399835
Senior Data Scientist,"San Francisco, CA","['100', '160']","Are you attracted to a role which is part teaching & part business projects & every third quarter you would be able to work on a passion project of your own choice?  For the passion projects quarters you could write a book, take a pro bono consulting assignment or work on personal research projects, all while getting paid a full time salary!We are a highly successful data science bootcamp with locations in San Francisco, Seattle, Chicago and New York.  If you're passionate about data science and teaching please read on..............Top Reasons to Work with Us- Share your passion for teaching in a full time salaried role- Every 3rd quarter you get to work on your passion project- Work for a company where you get to meet and interact with some of the most prestigious data scientists in the data science community.  We have guest speakers from across the globe who are leaders in the field.What You Will Be DoingWe are looking for Data Scientists to be part of the our Data Science Instructional Team.  We seek individuals who love and excel at analyzing and visualizing data to solve important problems, are passionate about teaching others to be premier data scientists, and are fun to be around and work with.  An ideal candidate should be quick to learn and adapt, care about design of simple, powerful, beautiful interfaces and visuals, love writing code, thrive in creative team efforts, and also have interests and passions beyond data science.ResponsibilitiesOur Senior Data Scientists provide incredible and inspiring Data Science instruction; support the design and teaching of new products and courses and infuse their expertise into our business operations; and continually sharpen their skills through consulting and passion project explorations.  Your role will be a mix of teaching, business projects and passion projects.  You will teach two quarters, every third quarter is a passion projects quarter and then throughout you will assist with business projects which could include product development, helping with admissions, attending conferences, writing articles. Teaching quarters:On any given day, the amount of lecture time is 1-2 hours, and the remainder of the day is spent directly engaging with and coaching individually the students.•Leading course discussions•Providing personalized support to students•Improving the quality of our curriculum •Offering career guidance and interview supportEvery third quarter:Sharpening Skills and Pursuing Data Science Passion Projects You'll be focused entirely on enhancing your skill set and building your data science knowledge in whatever way you choose.  These three months are intended to be self-driven.  Some ideas include:•Consulting on pro bono data science projects (e.g., with DataKind)•Providing in-house data science project expertise to specific companies•Authoring a book related to data science•Enrolling in data science classes•Working on open source passion projectsWhat You Need for this PositionMust haves:Machine Learning AlgorithmsPython2+ years INDUSTRY experience of data science Stellar communication skillsGenuine passion/enthusiasm for educationPreferred skills/experience:Ideally Masters or PhD in quantitative fieldPrior teaching experienceWhat's In It for YouPerks of the Role•Part of a team that is transforming education•Every third quarter you're paid to sharpen skills and pursue passion projects•Competitive compensation package•Opportunity to network and develop, both among our internal Data Science speaker community, as well as through our parent company which is a global organization•Opportunity to work in different geographic locations (NYC, San Francisco, Chicago, Seattle)So, if you are a Senior Data Scientist with 2+ years INDUSTRY experience of data science, Python and a passion for teaching, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Data Science
                                    
                                
                            
                            
                                
                                    
                                    Python
                                    
                                
                            
                            
                                
                                    
                                    scikit.learn
                                    
                                
                            
                            
                                
                                    
                                    Virtual Environments
                                    
                                
                            
                            
                                
                                    
                                    Bayesian Inference
                                    
                                
                            
                            
                                
                                    
                                    Machine Learning Algorithms
                                    
                                
                            
                            
                                
                                    
                                    Prior teaching experience (not essential)",https://www.cybercoders.com/senior-data-scientist-job-402280
Senior Data Engineer,"Culver City, CA","['140', '175']","Located in a beautiful office in Culver City, we are a well-funded post series B start up software development data company that creates world-class sensor technology that is currently on 300+ apps and more than 2 million devices in the US. Our panel generates more than a terabyte of sensor data every single day and provides a detailed view of more than 100 million anonymous user visits a month.This technology provides our customers with real-time data analytics that is used to better understand the market potential of new products and services. This software helps companies plan, build and distribute creative content that moves across multiple channels. We are a rapidly growing and are currently looking for a stellar addition to our team. The ideal candidate will have 3+ years of professional experience in Python or Ruby on data driven applications. You will be working on building creative tools within our marketing software. You will have the opportunity to mentor fellow engineers and influence the infrastructure of the application. So, if you are a Senior Data Engineer with 4+ years of professional experience building out data processing or ETL data pipe lines using - Apache Spark- Apache Airflow- AWS S3/Redshift/EMR- PythonWe want to hear from you!!!What You Will Be DoingWe are looking for a strong engineer to contribute to creating world-class emergency technology by building out and expanding our complex data infrastructure. You will have the opportunity to shape the evolution of our data pipeline as I see major re-architectures happening in the next 2 years. This would include bringing in new technologies as we scale and add more use cases.The technologies that we use are:- Apache Spark- Apache Airflow- AWS S3/Redshift/EMR- PythonWhat You Need for this PositionRequirements:- 4+ years of professional software development experience- 2+ years experience building out data infastrastructure- strong work ethic- strong CS fundamentals- nice to have: data processing experience, startup experience, location/sensors experienceWhat's In It for You- Competitive salary DOE - Annual performance bonus- Stock option equity component - Comprehensive benefits package with medical, dental, and vision component- Creative flexibility and opportunity to impact a growing startup!So, if you are a Senior or Lead Data Engineer with 3+ years of professional experience building out data infrastructure using Spark, Python, AWS S3, Redshift, EMR, Python technologies please apply now or send your resume to howard.braithwaite@cybercoders.com for immediate consideration.
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    SPARK
                                    
                                
                            
                            
                                
                                    
                                    Airflow
                                    
                                
                            
                            
                                
                                    
                                    Redshift
                                    
                                
                            
                            
                                
                                    
                                    Python",https://www.cybercoders.com/senior-data-engineer-job-403975
Senior Data Scientist,"Chicago, IL","['100', '160']","Are you attracted to a role which is part teaching & part business projects & every third quarter you would be able to work on a passion project of your own choice?  For the passion projects quarters you could write a book, take a pro bono consulting assignment or work on personal research projects, all while getting paid a full time salary!We are a highly successful data science bootcamp with locations in San Francisco, Seattle, Chicago and New York.  If you're passionate about data science and teaching please read on..............Top Reasons to Work with Us- Share your passion for teaching in a full time salaried role- Every 3rd quarter you get to work on your passion project- Work for a company where you get to meet and interact with some of the most prestigious data scientists in the data science community.  We have guest speakers from across the globe who are leaders in the field.What You Will Be DoingWe are looking for Data Scientists to be part of the our Data Science Instructional Team.  We seek individuals who love and excel at analyzing and visualizing data to solve important problems, are passionate about teaching others to be premier data scientists, and are fun to be around and work with.  An ideal candidate should be quick to learn and adapt, care about design of simple, powerful, beautiful interfaces and visuals, love writing code, thrive in creative team efforts, and also have interests and passions beyond data science.ResponsibilitiesOur Senior Data Scientists provide incredible and inspiring Data Science instruction; support the design and teaching of new products and courses and infuse their expertise into our business operations; and continually sharpen their skills through consulting and passion project explorations.  Your role will be a mix of teaching, business projects and passion projects.  You will teach two quarters, every third quarter is a passion projects quarter and then throughout you will assist with business projects which could include product development, helping with admissions, attending conferences, writing articles. Teaching quarters:On any given day, the amount of lecture time is 1-2 hours, and the remainder of the day is spent directly engaging with and coaching individually the students.•Leading course discussions•Providing personalized support to students•Improving the quality of our curriculum •Offering career guidance and interview supportEvery third quarter:Sharpening Skills and Pursuing Data Science Passion Projects You'll be focused entirely on enhancing your skill set and building your data science knowledge in whatever way you choose.  These three months are intended to be self-driven.  Some ideas include:•Consulting on pro bono data science projects (e.g., with DataKind)•Providing in-house data science project expertise to specific companies•Authoring a book related to data science•Enrolling in data science classes•Working on open source passion projectsWhat You Need for this PositionMust haves:Machine Learning AlgorithmsPython2+ years INDUSTRY (excluding research) experience of data science Stellar communication skillsGenuine passion/enthusiasm for educationPreferred skills/experience:Ideally Masters or PhD in quantitative fieldPrior teaching experienceWhat's In It for YouPerks of the Role•Part of a team that is transforming education•Every third quarter you're paid to sharpen skills and pursue passion projects•Competitive compensation package•Opportunity to network and develop, both among our internal Data Science speaker community, as well as through our parent company which is a global organization•Opportunity to work in different geographic locations (NYC, San Francisco, Chicago, Seattle)So, if you are a Senior Data Scientist with 2+ years INDUSTRY experience of data science, Python and a passion for teaching, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Data Science
                                    
                                
                            
                            
                                
                                    
                                    Python
                                    
                                
                            
                            
                                
                                    
                                    scikit.learn
                                    
                                
                            
                            
                                
                                    
                                    Bayesian Inference
                                    
                                
                            
                            
                                
                                    
                                    Machine Learning Algorithms",https://www.cybercoders.com/senior-data-scientist-job-407455
Data Scientist (Quantitative Finance),"New York City, NY","['120', '250']","If you are a Data Scientist with experience in Quantitative Finance, please read on!Top Reasons to Work with Us- Emerging high - tech company coming out of Silicon Valley focused on AI, Fin - Tech, state - of - the - art algorithms and cutting - edge machine learning models, with a track record of billion dollar exits. - Having created an AI algorithm that pulls data both structured and structured that extracts economic, financial, and political indicators providing influential decision makers a competitive advantage by connecting them to a dynamic network of information. - With a range of clients at top research institutions in the US, UK and Europe we are currently looking to launch into the financial vertical developing a product that will help manage risk and capture excess returns. - Our next generation technology simulates the way the human brain reasons when concepts are connected and allows users to be able to browse this network visually in order to have route access to interconnections they never knew existedWhat You Will Be Doing- Creating, develop, and launch a next - generation financial services platform with cutting - edge machine learning applied to finance- Working with heterogeneous streams of amorphous data in real - time- Designing and implementing Artificial Intelligence tools for financial big data analytics- Perming independent research and prototyping while collecting and processing large, noisy, structured and unstructured data setsWhat You Need for this PositionSalary Range: $120k to $250kMust Haves: - PhD or Masters Degree in a Quantitative Field- 3 + years' experience in Data Science/Quantitative Finance- Python,  or programming language- NLP- AINice to Haves:- Financial Engineering w/ Portfolio Management, Index Investing, Risk ManagementWhat's In It for YouAwesome Compensation PackageGrowth PotentialHealth, Medical, Dental Full BenefitsEquity Package401k w/MatchBonusPTOSo, if you are a Data Scientist with experience in Quantitative Finance, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Python
                                    
                                
                            
                            
                                
                                    
                                    Machine Learning
                                    
                                
                            
                            
                                
                                    
                                    neural networks
                                    
                                
                            
                            
                                
                                    
                                    Risk Analysis
                                    
                                
                            
                            
                                
                                    
                                    Econometrics
                                    
                                
                            
                            
                                
                                    
                                    Portfolio Management
                                    
                                
                            
                            
                                
                                    
                                    Equities
                                    
                                
                            
                            
                                
                                    
                                    ETFs
                                    
                                
                            
                            
                                
                                    
                                    NLP",https://www.cybercoders.com/data-scientist-quantitative-finance-job-409390
